size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right,pair
 25, 4, 9,  5,  7,   , combine, 22,0.12,   0.000,"[10,6 5,5,9,3,4,5,4 8,7,6,15,3,4 4,5,14,11,5,12,13,6,4,3]","[12,6 5,4 4,11,6,5,3,5,7,13,5,15,4,4,4 8,10,14,3,5,6,3,9]","(10 6 5 5 9 3 4 5 4 8 7 6 15 3 4 4 5 14 11 5 12 13 6 4 3,12 6 5 4 4 11 6 5 3 5 7 13 5 15 4 4 4 8 10 14 3 5 6 3 9)"
 25, 4, 9,  5,  7,   ,combineS, 22,0.12,   0.000,"[10,6 5,5,9,3,4,5,4 8,7,6,15,3,4 4,5,14,11,5,12,13,6,4,3]","[12,6 5,4 4,11,6,5,3,5,7,13,5,15,4,4,4 8,10,14,3,5,6,3,9]","(10 6 5 5 9 3 4 5 4 8 7 6 15 3 4 4 5 14 11 5 12 13 6 4 3,12 6 5 4 4 11 6 5 3 5 7 13 5 15 4 4 4 8 10 14 3 5 6 3 9)"
 25, 4, 9,  5,  7,   ,  greedy, 22,0.12,   0.001,"[10,6 5,5,9,3,4,5,4 8,7,6,15,3,4 4,5,14,11,5,12,13,6,4,3]","[12,6 5,4 4,11,6,5,3,5,7,13,5,15,4,4,4 8,10,14,3,5,6,3,9]","(10 6 5 5 9 3 4 5 4 8 7 6 15 3 4 4 5 14 11 5 12 13 6 4 3,12 6 5 4 4 11 6 5 3 5 7 13 5 15 4 4 4 8 10 14 3 5 6 3 9)"
 25, 4, 9,  5,  7,  0,     pso, 22,0.12,   0.331,"[10,6 5,5,9,3,4,5,4 8,7,6,15,3,4 4,5,14,11,5,12,13,6,4,3]","[12,6 5,4 4,11,6,5,3,5,7,13,5,15,4,4,4 8,10,14,3,5,6,3,9]","(10 6 5 5 9 3 4 5 4 8 7 6 15 3 4 4 5 14 11 5 12 13 6 4 3,12 6 5 4 4 11 6 5 3 5 7 13 5 15 4 4 4 8 10 14 3 5 6 3 9)"
 25, 4, 9,  5,  7,  0, psoPure, 22,0.12,   0.323,"[10,6 5,5,9,3,4,5 4,8,7,6,15,3,4 4,5,14,11,5,12,13,6,4,3]","[12,6,5 4,4,11,6 5,3,5,7,13,5,15,4 4,4,8,10,14,3,5,6,3,9]","(10 6 5 5 9 3 4 5 4 8 7 6 15 3 4 4 5 14 11 5 12 13 6 4 3,12 6 5 4 4 11 6 5 3 5 7 13 5 15 4 4 4 8 10 14 3 5 6 3 9)"
 25, 4, 9,  5,  7,  0, psoComb, 22,0.12,   1.870,"[10,6 5,5,9,3,4,5,4 8,7,6,15,3,4 4,5,14,11,5,12,13,6,4,3]","[12,6 5,4 4,11,6,5,3,5,7,13,5,15,4,4,4 8,10,14,3,5,6,3,9]","(10 6 5 5 9 3 4 5 4 8 7 6 15 3 4 4 5 14 11 5 12 13 6 4 3,12 6 5 4 4 11 6 5 3 5 7 13 5 15 4 4 4 8 10 14 3 5 6 3 9)"
 25, 4, 9,  5,  7,   ,     FPT, 22,0.12,   4.495,"[10,6,5,5,9,3,4,5,4,8,7,6,15,3,4,4,5,14,11,5,12,13,6,4,3]","[12,6,5,4,4,11,6,5,3,5,7,13,5,15,4,4,4,8,10,14,3,5,6,3,9]","(10 6 5 5 9 3 4 5 4 8 7 6 15 3 4 4 5 14 11 5 12 13 6 4 3,12 6 5 4 4 11 6 5 3 5 7 13 5 15 4 4 4 8 10 14 3 5 6 3 9)"
 26, 4,13,  5,  2,   , combine, 24,0.08,   0.000,"[4,10,5,4,11,2,4,17,3,4,14,2,4,1,6,15,8,3,2 12,16,13,9,7,3 1]","[15,4,13,3 1,16,17,2 12,10,4,3,5,2,6,7,1,11,8,4,9,4,2,14,4,3]","(4 10 5 4 11 2 4 17 3 4 14 2 4 1 6 15 8 3 2 12 16 13 9 7 3 1,15 4 13 3 1 16 17 2 12 10 4 3 5 2 6 7 1 11 8 4 9 4 2 14 4 3)"
 26, 4,13,  5,  2,   ,combineS, 24,0.08,   0.000,"[4,10,5,4,11,2,4,17,3,4,14,2,4,1,6,15,8,3,2 12,16,13,9,7,3 1]","[15,4,13,3 1,16,17,2 12,10,4,3,5,2,6,7,1,11,8,4,9,4,2,14,4,3]","(4 10 5 4 11 2 4 17 3 4 14 2 4 1 6 15 8 3 2 12 16 13 9 7 3 1,15 4 13 3 1 16 17 2 12 10 4 3 5 2 6 7 1 11 8 4 9 4 2 14 4 3)"
 26, 4,13,  5,  2,   ,  greedy, 24,0.08,   0.001,"[4,10,5,4,11,2,4,17,3,4,14,2,4,1,6,15,8,3,2 12,16,13,9,7,3 1]","[15,4,13,3 1,16,17,2 12,10,4,3,5,2,6,7,1,11,8,4,9,4,2,14,4,3]","(4 10 5 4 11 2 4 17 3 4 14 2 4 1 6 15 8 3 2 12 16 13 9 7 3 1,15 4 13 3 1 16 17 2 12 10 4 3 5 2 6 7 1 11 8 4 9 4 2 14 4 3)"
 26, 4,13,  5,  2,  0,     pso, 24,0.08,   0.071,"[4,10,5,4,11,2,4,17,3,4,14,2,4,1,6,15,8,3,2 12,16,13,9,7,3 1]","[15,4,13,3 1,16,17,2 12,10,4,3,5,2,6,7,1,11,8,4,9,4,2,14,4,3]","(4 10 5 4 11 2 4 17 3 4 14 2 4 1 6 15 8 3 2 12 16 13 9 7 3 1,15 4 13 3 1 16 17 2 12 10 4 3 5 2 6 7 1 11 8 4 9 4 2 14 4 3)"
 26, 4,13,  5,  2,  0, psoPure, 24,0.08,   0.068,"[4,10,5,4,11,2,4,17,3,4,14,2,4,1,6,15,8,3,2 12,16,13,9,7,3 1]","[15,4,13,3 1,16,17,2 12,10,4,3,5,2,6,7,1,11,8,4,9,4,2,14,4,3]","(4 10 5 4 11 2 4 17 3 4 14 2 4 1 6 15 8 3 2 12 16 13 9 7 3 1,15 4 13 3 1 16 17 2 12 10 4 3 5 2 6 7 1 11 8 4 9 4 2 14 4 3)"
 26, 4,13,  5,  2,  0, psoComb, 24,0.08,   1.791,"[4,10,5,4,11,2,4,17,3,4,14,2,4,1,6,15,8,3,2 12,16,13,9,7,3 1]","[15,4,13,3 1,16,17,2 12,10,4,3,5,2,6,7,1,11,8,4,9,4,2,14,4,3]","(4 10 5 4 11 2 4 17 3 4 14 2 4 1 6 15 8 3 2 12 16 13 9 7 3 1,15 4 13 3 1 16 17 2 12 10 4 3 5 2 6 7 1 11 8 4 9 4 2 14 4 3)"
 26, 4,13,  5,  2,   ,     FPT, 24,0.08,   0.180,"[4,10,5,4,11,2,4,17,3,4,14,2,4,1,6,15,8,3,2,12,16,13,9,7,3,1]","[15,4,13,3,1,16,17,2,12,10,4,3,5,2,6,7,1,11,8,4,9,4,2,14,4,3]","(4 10 5 4 11 2 4 17 3 4 14 2 4 1 6 15 8 3 2 12 16 13 9 7 3 1,15 4 13 3 1 16 17 2 12 10 4 3 5 2 6 7 1 11 8 4 9 4 2 14 4 3)"
 26, 7, 5,  4,  6,   , combine, 23,0.12,   0.000,"[10,2 0,5,6,2,3,1,8,7,4,6,5,1,5,6 0,0,11,3 4,6,1,4,9,0]","[1,0,6,6,3 4,9,5,5,0,5,2,1,6 0,1,3,4,2 0,7,8,4,11,10,6]","(10 2 0 5 6 2 3 1 8 7 4 6 5 1 5 6 0 0 11 3 4 6 1 4 9 0,1 0 6 6 3 4 9 5 5 0 5 2 1 6 0 1 3 4 2 0 7 8 4 11 10 6)"
 26, 7, 5,  4,  6,   ,combineS, 22,0.16,   0.000,"[10,2 0,5,6,2,3,1,8,7,4,6,5,1,5,6 0,0,11,3 4,6,1,4 9,0]","[1,0,6,6,3,4 9,5,5,0,5,2,1,6 0,1,3 4,2 0,7,8,4,11,10,6]","(10 2 0 5 6 2 3 1 8 7 4 6 5 1 5 6 0 0 11 3 4 6 1 4 9 0,1 0 6 6 3 4 9 5 5 0 5 2 1 6 0 1 3 4 2 0 7 8 4 11 10 6)"
 26, 7, 5,  4,  6,   ,  greedy, 22,0.16,   0.001,"[10,2,0 5,6,2,3,1,8,7,4,6,5,1,5,6 0,0,11,3 4,6,1,4 9,0]","[1,0,6,6,3,4 9,5,5,0 5,2,1,6 0,1,3 4,2,0,7,8,4,11,10,6]","(10 2 0 5 6 2 3 1 8 7 4 6 5 1 5 6 0 0 11 3 4 6 1 4 9 0,1 0 6 6 3 4 9 5 5 0 5 2 1 6 0 1 3 4 2 0 7 8 4 11 10 6)"
 26, 7, 5,  4,  6,  0,     pso, 22,0.16,   0.359,"[10,2,0 5,6,2,3,1,8,7,4,6,5,1,5,6 0,0,11,3 4,6,1,4 9,0]","[1,0,6,6,3,4 9,5,5,0 5,2,1,6 0,1,3 4,2,0,7,8,4,11,10,6]","(10 2 0 5 6 2 3 1 8 7 4 6 5 1 5 6 0 0 11 3 4 6 1 4 9 0,1 0 6 6 3 4 9 5 5 0 5 2 1 6 0 1 3 4 2 0 7 8 4 11 10 6)"
 26, 7, 5,  4,  6,  0, psoPure, 22,0.16,   0.353,"[10,2,0 5,6,2,3,1,8,7,4,6,5,1,5,6 0,0,11,3 4,6,1,4 9,0]","[1,0,6,6,3,4 9,5,5,0 5,2,1,6 0,1,3 4,2,0,7,8,4,11,10,6]","(10 2 0 5 6 2 3 1 8 7 4 6 5 1 5 6 0 0 11 3 4 6 1 4 9 0,1 0 6 6 3 4 9 5 5 0 5 2 1 6 0 1 3 4 2 0 7 8 4 11 10 6)"
 26, 7, 5,  4,  6,  0, psoComb, 22,0.16,   1.806,"[10,2,0 5,6,2,3,1,8,7,4,6,5,1,5,6 0,0,11,3 4,6,1,4 9,0]","[1,0,6,6,3,4 9,5,5,0 5,2,1,6 0,1,3 4,2,0,7,8,4,11,10,6]","(10 2 0 5 6 2 3 1 8 7 4 6 5 1 5 6 0 0 11 3 4 6 1 4 9 0,1 0 6 6 3 4 9 5 5 0 5 2 1 6 0 1 3 4 2 0 7 8 4 11 10 6)"
 26, 7, 5,  4,  6,   ,     FPT, 22,0.16,   6.686,"[10,2,0,5,6,2,3,1,8,7,4,6,5,1,5,6,0,0,11,3,4,6,1,4,9,0]","[1,0,6,6,3,4,9,5,5,0,5,2,1,6,0,1,3,4,2,0,7,8,4,11,10,6]","(10 2 0 5 6 2 3 1 8 7 4 6 5 1 5 6 0 0 11 3 4 6 1 4 9 0,1 0 6 6 3 4 9 5 5 0 5 2 1 6 0 1 3 4 2 0 7 8 4 11 10 6)"
 26, 4,13,  5,  3,   , combine, 23,0.12,   0.000,"[5,2,9,3 16,0,8,0,12,14,0 13,3,1,1,2,6,3,4,11,0,7,15 2,10,0]","[8,2,0,1,4,1,10,3 16,3,0,9,0,5,0 13,7,11,12,3,0,6,14,15 2,2]","(5 2 9 3 16 0 8 0 12 14 0 13 3 1 1 2 6 3 4 11 0 7 15 2 10 0,8 2 0 1 4 1 10 3 16 3 0 9 0 5 0 13 7 11 12 3 0 6 14 15 2 2)"
 26, 4,13,  5,  3,   ,combineS, 23,0.12,   0.000,"[5,2,9,3 16,0,8,0,12,14,0 13,3,1,1,2,6,3,4,11,0,7,15 2,10,0]","[8,2,0,1,4,1,10,3 16,3,0,9,0,5,0 13,7,11,12,3,0,6,14,15 2,2]","(5 2 9 3 16 0 8 0 12 14 0 13 3 1 1 2 6 3 4 11 0 7 15 2 10 0,8 2 0 1 4 1 10 3 16 3 0 9 0 5 0 13 7 11 12 3 0 6 14 15 2 2)"
 26, 4,13,  5,  3,   ,  greedy, 23,0.12,   0.001,"[5,2,9,3 16,0,8,0,12,14,0 13,3,1,1,2,6,3,4,11,0,7,15 2,10,0]","[8,2,0,1,4,1,10,3 16,3,0,9,0,5,0 13,7,11,12,3,0,6,14,15 2,2]","(5 2 9 3 16 0 8 0 12 14 0 13 3 1 1 2 6 3 4 11 0 7 15 2 10 0,8 2 0 1 4 1 10 3 16 3 0 9 0 5 0 13 7 11 12 3 0 6 14 15 2 2)"
 26, 4,13,  5,  3,  0,     pso, 23,0.12,   0.142,"[5,2,9,3 16,0,8,0,12,14,0 13,3,1,1,2,6,3,4,11,0,7,15 2,10,0]","[8,2,0,1,4,1,10,3 16,3,0,9,0,5,0 13,7,11,12,3,0,6,14,15 2,2]","(5 2 9 3 16 0 8 0 12 14 0 13 3 1 1 2 6 3 4 11 0 7 15 2 10 0,8 2 0 1 4 1 10 3 16 3 0 9 0 5 0 13 7 11 12 3 0 6 14 15 2 2)"
 26, 4,13,  5,  3,  0, psoPure, 23,0.12,   0.132,"[5,2,9,3 16,0,8,0,12,14,0 13,3,1,1,2,6,3,4,11,0,7,15 2,10,0]","[8,2,0,1,4,1,10,3 16,3,0,9,0,5,0 13,7,11,12,3,0,6,14,15 2,2]","(5 2 9 3 16 0 8 0 12 14 0 13 3 1 1 2 6 3 4 11 0 7 15 2 10 0,8 2 0 1 4 1 10 3 16 3 0 9 0 5 0 13 7 11 12 3 0 6 14 15 2 2)"
 26, 4,13,  5,  3,  0, psoComb, 23,0.12,   1.670,"[5,2,9,3 16,0,8,0,12,14,0 13,3,1,1,2,6,3,4,11,0,7,15 2,10,0]","[8,2,0,1,4,1,10,3 16,3,0,9,0,5,0 13,7,11,12,3,0,6,14,15 2,2]","(5 2 9 3 16 0 8 0 12 14 0 13 3 1 1 2 6 3 4 11 0 7 15 2 10 0,8 2 0 1 4 1 10 3 16 3 0 9 0 5 0 13 7 11 12 3 0 6 14 15 2 2)"
 26, 4,13,  5,  3,   ,     FPT, 21,0.20,   0.265,"[5,2,9,3,16,0,8,0,12,14,0,13,3,1,1,2,6,3,4,11,0,7,15,2,10,0]","[8,2,0,1,4,1,10,3,16,3,0,9,0,5,0,13,7,11,12,3,0,6,14,15,2,2]","(5 2 9 3 16 0 8 0 12 14 0 13 3 1 1 2 6 3 4 11 0 7 15 2 10 0,8 2 0 1 4 1 10 3 16 3 0 9 0 5 0 13 7 11 12 3 0 6 14 15 2 2)"
 26, 6, 2,  6, 16,   , combine, 19,0.28,   0.000,"[2 3,1 5,2,6,0 0,0 1,7,0,1,3,1,3 3,0,5,2,3 4,4 0,4,3]","[2,1,1,1 5,4,2,0,2 3,3 3,6,4 0,7,0 0,5,0,3,3 4,3,0 1]","(2 3 1 5 2 6 0 0 0 1 7 0 1 3 1 3 3 0 5 2 3 4 4 0 4 3,2 1 1 1 5 4 2 0 2 3 3 3 6 4 0 7 0 0 5 0 3 3 4 3 0 1)"
 26, 6, 2,  6, 16,   ,combineS, 18,0.32,   0.000,"[2 3,1 5,2,6,0,0,0 1,7 0,1,3,1,3 3,0 5,2,3 4,4 0,4,3]","[2,1,1,1 5,4,2,0,2 3,3 3,6,4 0,7 0,0 5,0,3,3 4,3,0 1]","(2 3 1 5 2 6 0 0 0 1 7 0 1 3 1 3 3 0 5 2 3 4 4 0 4 3,2 1 1 1 5 4 2 0 2 3 3 3 6 4 0 7 0 0 5 0 3 3 4 3 0 1)"
 26, 6, 2,  6, 16,   ,  greedy, 18,0.32,   0.001,"[2,3,1 5,2,6,0,0,0 1,7 0,1,3,1,3 3,0 5,2 3,4,4 0,4 3]","[2,1,1,1 5,4,2,0,2 3,3,3,6,4 0,7 0,0 5,0,3 3,4 3,0 1]","(2 3 1 5 2 6 0 0 0 1 7 0 1 3 1 3 3 0 5 2 3 4 4 0 4 3,2 1 1 1 5 4 2 0 2 3 3 3 6 4 0 7 0 0 5 0 3 3 4 3 0 1)"
 26, 6, 2,  6, 16,  0,     pso, 18,0.32,   1.171,"[2,3,1 5,2,6,0,0,0 1,7 0,1,3,1,3 3,0 5,2 3,4,4 0,4 3]","[2,1,1,1 5,4,2,0,2 3,3,3,6,4 0,7 0,0 5,0,3 3,4 3,0 1]","(2 3 1 5 2 6 0 0 0 1 7 0 1 3 1 3 3 0 5 2 3 4 4 0 4 3,2 1 1 1 5 4 2 0 2 3 3 3 6 4 0 7 0 0 5 0 3 3 4 3 0 1)"
 26, 6, 2,  6, 16,  0, psoPure, 18,0.32,   1.183,"[2,3,1 5,2,6,0,0,0 1,7 0,1,3,1,3 3,0 5,2 3,4,4 0,4 3]","[2,1,1,1 5,4,2,0,2 3,3 3,6,4 0,7 0,0 5,0,3,3,4 3,0 1]","(2 3 1 5 2 6 0 0 0 1 7 0 1 3 1 3 3 0 5 2 3 4 4 0 4 3,2 1 1 1 5 4 2 0 2 3 3 3 6 4 0 7 0 0 5 0 3 3 4 3 0 1)"
 26, 6, 2,  6, 16,  0, psoComb, 18,0.32,   2.544,"[2,3,1 5,2,6,0,0,0 1,7 0,1,3,1,3 3,0 5,2 3,4,4 0,4 3]","[2,1,1,1 5,4,2,0,2 3,3,3,6,4 0,7 0,0 5,0,3 3,4 3,0 1]","(2 3 1 5 2 6 0 0 0 1 7 0 1 3 1 3 3 0 5 2 3 4 4 0 4 3,2 1 1 1 5 4 2 0 2 3 3 3 6 4 0 7 0 0 5 0 3 3 4 3 0 1)"
 26, 6, 2,  6, 16,   ,     FPT, 17,0.36,  71.304,"[2,3,1,5,2,6,0,0,0,1,7,0,1,3,1,3,3,0,5,2,3,4,4,0,4,3]","[2,1,1,1,5,4,2,0,2,3,3,3,6,4,0,7,0,0,5,0,3,3,4,3,0,1]","(2 3 1 5 2 6 0 0 0 1 7 0 1 3 1 3 3 0 5 2 3 4 4 0 4 3,2 1 1 1 5 4 2 0 2 3 3 3 6 4 0 7 0 0 5 0 3 3 4 3 0 1)"
 26, 6, 8,  4,  4,   , combine, 23,0.12,   0.000,"[7,6,6,9,3,10,14,5,5 2 0,12,6,2,8,13,11,4,3 2,3,4,3,4,0,5]","[4,10,6,7,14,12,2,13,8,4,4,11,5,3,6,3 2,5 2 0,9,5,3,3,0,6]","(7 6 6 9 3 10 14 5 5 2 0 12 6 2 8 13 11 4 3 2 3 4 3 4 0 5,4 10 6 7 14 12 2 13 8 4 4 11 5 3 6 3 2 5 2 0 9 5 3 3 0 6)"
 26, 6, 8,  4,  4,   ,combineS, 23,0.12,   0.000,"[7,6,6,9,3,10,14,5,5 2 0,12,6,2,8,13,11,4,3 2,3,4,3,4,0,5]","[4,10,6,7,14,12,2,13,8,4,4,11,5,3,6,3 2,5 2 0,9,5,3,3,0,6]","(7 6 6 9 3 10 14 5 5 2 0 12 6 2 8 13 11 4 3 2 3 4 3 4 0 5,4 10 6 7 14 12 2 13 8 4 4 11 5 3 6 3 2 5 2 0 9 5 3 3 0 6)"
 26, 6, 8,  4,  4,   ,  greedy, 23,0.12,   0.001,"[7,6,6,9,3,10,14,5,5 2 0,12,6,2,8,13,11,4,3 2,3,4,3,4,0,5]","[4,10,6,7,14,12,2,13,8,4,4,11,5,3,6,3 2,5 2 0,9,5,3,3,0,6]","(7 6 6 9 3 10 14 5 5 2 0 12 6 2 8 13 11 4 3 2 3 4 3 4 0 5,4 10 6 7 14 12 2 13 8 4 4 11 5 3 6 3 2 5 2 0 9 5 3 3 0 6)"
 26, 6, 8,  4,  4,  0,     pso, 23,0.12,   0.145,"[7,6,6,9,3,10,14,5,5 2 0,12,6,2,8,13,11,4,3 2,3,4,3,4,0,5]","[4,10,6,7,14,12,2,13,8,4,4,11,5,3,6,3 2,5 2 0,9,5,3,3,0,6]","(7 6 6 9 3 10 14 5 5 2 0 12 6 2 8 13 11 4 3 2 3 4 3 4 0 5,4 10 6 7 14 12 2 13 8 4 4 11 5 3 6 3 2 5 2 0 9 5 3 3 0 6)"
 26, 6, 8,  4,  4,  0, psoPure, 23,0.12,   0.142,"[7,6,6,9,3,10,14,5,5 2 0,12,6,2,8,13,11,4,3 2,3,4,3,4,0,5]","[4,10,6,7,14,12,2,13,8,4,4,11,5,3,6,3 2,5 2 0,9,5,3,3,0,6]","(7 6 6 9 3 10 14 5 5 2 0 12 6 2 8 13 11 4 3 2 3 4 3 4 0 5,4 10 6 7 14 12 2 13 8 4 4 11 5 3 6 3 2 5 2 0 9 5 3 3 0 6)"
 26, 6, 8,  4,  4,  0, psoComb, 23,0.12,   2.070,"[7,6,6,9,3,10,14,5,5 2 0,12,6,2,8,13,11,4,3 2,3,4,3,4,0,5]","[4,10,6,7,14,12,2,13,8,4,4,11,5,3,6,3 2,5 2 0,9,5,3,3,0,6]","(7 6 6 9 3 10 14 5 5 2 0 12 6 2 8 13 11 4 3 2 3 4 3 4 0 5,4 10 6 7 14 12 2 13 8 4 4 11 5 3 6 3 2 5 2 0 9 5 3 3 0 6)"
 26, 6, 8,  4,  4,   ,     FPT, 23,0.12,   1.024,"[7,6,6,9,3,10,14,5,5,2,0,12,6,2,8,13,11,4,3,2,3,4,3,4,0,5]","[4,10,6,7,14,12,2,13,8,4,4,11,5,3,6,3,2,5,2,0,9,5,3,3,0,6]","(7 6 6 9 3 10 14 5 5 2 0 12 6 2 8 13 11 4 3 2 3 4 3 4 0 5,4 10 6 7 14 12 2 13 8 4 4 11 5 3 6 3 2 5 2 0 9 5 3 3 0 6)"
 26, 3,17,  4,  3,   , combine, 24,0.08,   0.000,"[0,13 2,8,11,17,18,3,6,10,2,1,19,1,0,9,16,4,14,5 1,1,12,15,7,0]","[13 2,2,16,0,4,0,17,1,11,14,9,15,6,5 1,7,10,12,19,8,1,1,3,18,0]","(0 13 2 8 11 17 18 3 6 10 2 1 19 1 0 9 16 4 14 5 1 1 12 15 7 0,13 2 2 16 0 4 0 17 1 11 14 9 15 6 5 1 7 10 12 19 8 1 1 3 18 0)"
 26, 3,17,  4,  3,   ,combineS, 24,0.08,   0.000,"[0,13 2,8,11,17,18,3,6,10,2,1,19,1,0,9,16,4,14,5 1,1,12,15,7,0]","[13 2,2,16,0,4,0,17,1,11,14,9,15,6,5 1,7,10,12,19,8,1,1,3,18,0]","(0 13 2 8 11 17 18 3 6 10 2 1 19 1 0 9 16 4 14 5 1 1 12 15 7 0,13 2 2 16 0 4 0 17 1 11 14 9 15 6 5 1 7 10 12 19 8 1 1 3 18 0)"
 26, 3,17,  4,  3,   ,  greedy, 24,0.08,   0.001,"[0,13 2,8,11,17,18,3,6,10,2,1,19,1,0,9,16,4,14,5 1,1,12,15,7,0]","[13 2,2,16,0,4,0,17,1,11,14,9,15,6,5 1,7,10,12,19,8,1,1,3,18,0]","(0 13 2 8 11 17 18 3 6 10 2 1 19 1 0 9 16 4 14 5 1 1 12 15 7 0,13 2 2 16 0 4 0 17 1 11 14 9 15 6 5 1 7 10 12 19 8 1 1 3 18 0)"
 26, 3,17,  4,  3,  0,     pso, 24,0.08,   0.111,"[0,13 2,8,11,17,18,3,6,10,2,1,19,1,0,9,16,4,14,5 1,1,12,15,7,0]","[13 2,2,16,0,4,0,17,1,11,14,9,15,6,5 1,7,10,12,19,8,1,1,3,18,0]","(0 13 2 8 11 17 18 3 6 10 2 1 19 1 0 9 16 4 14 5 1 1 12 15 7 0,13 2 2 16 0 4 0 17 1 11 14 9 15 6 5 1 7 10 12 19 8 1 1 3 18 0)"
 26, 3,17,  4,  3,  0, psoPure, 24,0.08,   0.108,"[0,13 2,8,11,17,18,3,6,10,2,1,19,1,0,9,16,4,14,5 1,1,12,15,7,0]","[13 2,2,16,0,4,0,17,1,11,14,9,15,6,5 1,7,10,12,19,8,1,1,3,18,0]","(0 13 2 8 11 17 18 3 6 10 2 1 19 1 0 9 16 4 14 5 1 1 12 15 7 0,13 2 2 16 0 4 0 17 1 11 14 9 15 6 5 1 7 10 12 19 8 1 1 3 18 0)"
 26, 3,17,  4,  3,  0, psoComb, 24,0.08,   1.752,"[0,13 2,8,11,17,18,3,6,10,2,1,19,1,0,9,16,4,14,5 1,1,12,15,7,0]","[13 2,2,16,0,4,0,17,1,11,14,9,15,6,5 1,7,10,12,19,8,1,1,3,18,0]","(0 13 2 8 11 17 18 3 6 10 2 1 19 1 0 9 16 4 14 5 1 1 12 15 7 0,13 2 2 16 0 4 0 17 1 11 14 9 15 6 5 1 7 10 12 19 8 1 1 3 18 0)"
 26, 3,17,  4,  3,   ,     FPT, 22,0.16,   0.052,"[0,13,2,8,11,17,18,3,6,10,2,1,19,1,0,9,16,4,14,5,1,1,12,15,7,0]","[13,2,2,16,0,4,0,17,1,11,14,9,15,6,5,1,7,10,12,19,8,1,1,3,18,0]","(0 13 2 8 11 17 18 3 6 10 2 1 19 1 0 9 16 4 14 5 1 1 12 15 7 0,13 2 2 16 0 4 0 17 1 11 14 9 15 6 5 1 7 10 12 19 8 1 1 3 18 0)"
 27, 5, 5,  6, 12,   , combine, 23,0.15,   0.000,"[0,1 4,0,6,1,7,4 4,3,4,2,3,9,0,1,4,10,3,1,0,2,3,1 3,8 4]","[1 3,10,1,1,2,2,7,0,3,3,1 4,1,9,3,6,4,0,8 4,0,0,4 4,4,3]","(0 1 4 0 6 1 7 4 4 3 4 2 3 9 0 1 4 10 3 1 0 2 3 1 3 8 4,1 3 10 1 1 2 2 7 0 3 3 1 4 1 9 3 6 4 0 8 4 0 0 4 4 4 3)"
 27, 5, 5,  6, 12,   ,combineS, 23,0.15,   0.000,"[0,1 4,0,6,1,7,4 4,3,4,2,3,9,0,1,4,10,3,1,0,2,3,1 3,8 4]","[1 3,10,1,1,2,2,7,0,3,3,1 4,1,9,3,6,4,0,8 4,0,0,4 4,4,3]","(0 1 4 0 6 1 7 4 4 3 4 2 3 9 0 1 4 10 3 1 0 2 3 1 3 8 4,1 3 10 1 1 2 2 7 0 3 3 1 4 1 9 3 6 4 0 8 4 0 0 4 4 4 3)"
 27, 5, 5,  6, 12,   ,  greedy, 21,0.23,   0.001,"[0,1,4 0,6,1,7,4 4 3,4,2,3,9,0,1,4,10,3 1,0,2,3,1 3,8 4]","[1 3,10,1,1,2,2,7,0,3,3 1,4,1,9,3,6,4 0,8 4,0,0,4,4 4 3]","(0 1 4 0 6 1 7 4 4 3 4 2 3 9 0 1 4 10 3 1 0 2 3 1 3 8 4,1 3 10 1 1 2 2 7 0 3 3 1 4 1 9 3 6 4 0 8 4 0 0 4 4 4 3)"
 27, 5, 5,  6, 12,  0,     pso, 21,0.23,   0.765,"[0,1,4 0,6,1,7,4 4 3,4,2,3,9,0,1,4,10,3 1,0,2,3,1 3,8 4]","[1 3,10,1,1,2,2,7,0,3,3 1,4,1,9,3,6,4 0,8 4,0,0,4,4 4 3]","(0 1 4 0 6 1 7 4 4 3 4 2 3 9 0 1 4 10 3 1 0 2 3 1 3 8 4,1 3 10 1 1 2 2 7 0 3 3 1 4 1 9 3 6 4 0 8 4 0 0 4 4 4 3)"
 27, 5, 5,  6, 12,  0, psoPure, 21,0.23,   0.735,"[0,1,4 0,6,1,7,4 4 3,4,2,3,9,0,1 4,10,3,1,0,2,3,1 3,8 4]","[1 3,10,1,1,2,2,7,0,3,3,1 4,1,9,3,6,4 0,8 4,0,0,4,4 4 3]","(0 1 4 0 6 1 7 4 4 3 4 2 3 9 0 1 4 10 3 1 0 2 3 1 3 8 4,1 3 10 1 1 2 2 7 0 3 3 1 4 1 9 3 6 4 0 8 4 0 0 4 4 4 3)"
 27, 5, 5,  6, 12,  0, psoComb, 21,0.23,   2.423,"[0,1,4 0,6,1,7,4 4 3,4,2,3,9,0,1,4,10,3 1,0,2,3,1 3,8 4]","[1 3,10,1,1,2,2,7,0,3,3 1,4,1,9,3,6,4 0,8 4,0,0,4,4 4 3]","(0 1 4 0 6 1 7 4 4 3 4 2 3 9 0 1 4 10 3 1 0 2 3 1 3 8 4,1 3 10 1 1 2 2 7 0 3 3 1 4 1 9 3 6 4 0 8 4 0 0 4 4 4 3)"
